CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	11
Berkshire	21
Bristol	14
Dukes and Nantucket	1
Essex	41
Franklin	2
Hampden	9
Hampshire	2
Middlesex	177
Norfolk	69
Plymouth	20
Suffolk	108
Worcester	24
Unknown	26
Sex	
Female	249
Male	275
Unknown	1
Exposure	
Biogen conference attendees and household contacts	97
Local transmission	69
Travel related	53
Under investigation	306
Deaths	
Attributed to COVID-19	1
Hospitalization	
Patient was hospitalized	61
Patient was not hospitalized	215
Under Investigation	249
