CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	330
Berkshire	253
Bristol	601
Dukes	7
Essex	1400
Franklin	95
Hampden	733
Hampshire	125
Middlesex	2468
Nantucket	9
Norfolk	1199
Plymouth	898
Suffolk	2429
Worcester	915
Unknown	274
Sex	
Female	6124
Male	5531
Unknown	81
Age Group	
≤19 years of age	275
20-29 years of age	1716
30-39 years of age	1964
40-49 years of age	1941
50-59 years of age	2312
60-69 years of age	1620
≥ 70 years of age	1907
Unknown	1
Deaths	
Attributed to COVID-19	216
COVID-19 Cases in Long-Term Care Facilities	
Residents of Long-Term Care Facilities	480
Long-Term Care Facilities Reporting At Least One Case of COVID-19	94
Hospitalization	
Patient was hospitalized	1068
Patient was not hospitalized	3378
Under Investigation	7290
