CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	632
Berkshire	387
Bristol	1731
Dukes	14
Essex	5153
Franklin	181
Hampden	2337
Hampshire	317
Middlesex	8737
Nantucket	9
Norfolk	3789
Plymouth	2832
Suffolk	8074
Worcester	3069
Unknown	815
Sex	
Female	20138
Male	16909
Unknown	1030
Age Group	
≤19 years of age	899
20-29 years of age	4483
30-39 years of age	5483
40-49 years of age	5517
50-59 years of age	6687
60-69 years of age	5315
70-79 years of age	3767
≥ 80 years of age	5634
Unknown	292
Deaths	
Attributed to COVID-19	1706
COVID-19 Cases in Long-Term Care Facilities	
Residents/Healthcare workers of Long-Term Care Facilities	6121
Long-Term Care Facilities Reporting At Least One Case of COVID-19	254
Deaths Reported in Long-Term Care Facilities	884
