CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	173
Berkshire	162
Bristol	263
Dukes and Nantucket	8
Essex	653
Franklin	49
Hampden	255
Hampshire	46
Middlesex	1141
Norfolk	628
Plymouth	380
Suffolk	1115
Worcester	390
Unknown	489
Sex	
Female	2961
Male	2759
Unknown	32
Age Group	
≤19 years of age	122
20-29 years of age	953
30-39 years of age	1031
40-49 years of age	948
50-59 years of age	1088
60-69 years of age	802
≥ 70 years of age	801
Unknown	7
Deaths	
Attributed to COVID-19	56
Hospitalization	
Patient was hospitalized	453
Patient was not hospitalized	1603
Under Investigation	3696
