Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1021	7729
ARUP Laboratories	17	186
Baystate Medical Center	3	8
Bedford Research Foundation	43	303
Beth Israel Deaconess Medical Center	964	5278
BioReference Laboratories	12	47
Boston Medical Center	436	1005
BROAD Institute CRSP	721	3598
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	15	247
East Side Clinical Laboratory	12	90
Genesys Diagnostics	116	209
LabCorp	1006	5787
Mayo Clinic Labs	415	2138
Orig3n	16	40
Partners Healthcare	1024	5129
Quest Laboratories	5778	35226
South Shore Hospital	13	78
Steward Health Care	68	128
Tufts Medical Center	624	2923
UMASS Memorial Medical Center	81	455
VA Boston Healthcare System	12	13
Viracor	71	1216
Other	31	94
Total Patients Tested*	12500	71937
