Laboratory	Total Patients Positive***	Total Patients Tested**
MA State Public Health Laboratory	423	4059
ARUP	17	182
Beth Israel Deaconess Medical Center	106	1095
BioReference Laboratories	3	9
Centers for Disease Control and Prevention	1	11
Children’s Hospital Boston	1	39
LabCorp	112	1764
Mayo Clinic Labs	2	22
Partners Healthcare	54	742
Quest Laboratories	379	5069
Tufts Medical Center	23	221
Viracor	30	454
Other	8	88
Total Patients Tested	1159	13749
