CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	573
Berkshire	383
Bristol	1659
Dukes	12
Essex	4584
Franklin	173
Hampden	2134
Hampshire	258
Middlesex	7744
Nantucket	9
Norfolk	3499
Plymouth	2577
Suffolk	7272
Worcester	2765
Unknown	760
Sex	
Female	17823
Male	14991
Unknown	1588
Age Group	
≤19 years of age	803
20-29 years of age	4095
30-39 years of age	5040
40-49 years of age	5071
50-59 years of age	6158
60-69 years of age	4850
70-79 years of age	3342
≥ 80 years of age	4777
Unknown	266
Deaths	
Attributed to COVID-19	1404
COVID-19 Cases in Long-Term Care Facilities	
Residents/Healthcare workers of Long-Term Care Facilities	5142
Long-Term Care Facilities Reporting At Least One Case of COVID-19	240
Deaths Reported in Long-Term Care Facilities	702
