Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	928	7556
ARUP Laboratories	17	187
Baystate Medical Center	3	7
Bedford Research Foundation	38	260
Beth Israel Deaconess Medical Center	877	4888
BioReference Laboratories	12	47
Boston Medical Center	390	923
BROAD Institute CRSP	619	3020
Centers for Disease Control and Prevention	1	11
Children’s Hospital Boston	15	247
East Side Clinical Laboratory	12	82
Genesys Diagnostics	108	197
LabCorp	1005	5789
Mayo Clinic Labs	409	2074
Orig3n	16	40
Partners Healthcare	949	4868
Quest Laboratories	5578	34231
South Shore Hospital	10	62
Steward Health Care	9	14
Tufts Medical Center	564	2630
UMASS Memorial Medical Center	65	357
VA Boston Healthcare System	11	12
Viracor	71	1206
Other	29	92
Total Patients Tested	11736	68800
