Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1760	9568
ARUP Laboratories	19	193
Baystate Medical Center	407	1584
Bedford Research Foundation	116	597
Berkshire Medical Center	6	38
Beth Israel Deaconess Medical Center	2270	9537
BioReference Laboratories	24	140
Boston Medical Center	1232	2731
BROAD Institute CRSP	4445	15469
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	32	517
CVS	775	4684
Cambridge Health Alliance	19	19
East Side Clinical Laboratory	45	285
Excelsior	6	11
Genesys Diagnostics	606	1570
Harrington Memorial Hospital	19	49
LabCorp	2302	8999
Mayo Clinic Labs	458	2407
Orig3n	16	40
Other Public Health Laboratories	12	19
Partners Healthcare	2433	9043
Quest Laboratories	11750	59709
South Shore Hospital	67	300
Steward Health Care	358	947
Tufts Medical Center	1706	6049
UMASS Memorial Medical Center	726	3477
VA Healthcare Sites	104	510
Vikor Scientific	160	195
Viracor	82	1341
Point of Care Testing	100	406
Other	125	329
Total Patients Tested	32181	140773
