Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	893	7315
ARUP Laboratories	17	187
Baystate Medical Center	3	7
Bedford Research Foundation	31	245
Beth Israel Deaconess Medical Center	772	4413
BioReference Laboratories	13	47
Boston Medical Center	323	772
BROAD Institute CRSP	523	2628
Centers for Disease Control and Prevention	1	11
Children’s Hospital Boston	14	223
Genesys Diagnostics	110	199
LabCorp	822	5131
Mayo Clinic Labs	385	1977
Partners Healthcare	893	4594
Quest Laboratories	4876	31144
South Shore Hospital	6	39
Tufts Medical Center	522	2419
UMASS Memorial Medical Center	54	263
Viracor	81	1164
Other	63	184
Total Patients Tested	10402	62962
