Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	807	7020
ARUP Laboratories	17	185
Bedford Research Foundation	20	198
Beth Israel Deaconess Medical Center	592	3522
BioReference Laboratories	9	43
Boston Medical Center	172	537
BROAD Institute CRSP	265	1348
Centers for Disease Control and Prevention	1	11
Children’s Hospital Boston	10	155
Genesys Diagnostics	101	139
LabCorp	536	4319
Mayo Clinic Labs	298	1584
Partners Healthcare	613	3711
Quest Laboratories	3801	25885
Tufts Medical Center	372	1827
UMASS Memorial Medical Center	16	70
Viracor	73	1098
Other	35	86
Total Patients Tested	7738	51738
