Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1133	8091
ARUP Laboratories	17	186
Baystate Medical Center	31	124
Bedford Research Foundation	48	341
Beth Israel Deaconess Medical Center	1024	5522
BioReference Laboratories	16	51
Boston Medical Center	461	1045
BROAD Institute CRSP	962	4301
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	16	264
East Side Clinical Laboratory	16	109
Genesys Diagnostics	151	283
LabCorp	1211	6352
Mayo Clinic Labs	422	2202
Orig3n	16	40
Partners Healthcare	1124	5427
Quest Laboratories	6103	36579
Signature Healthcare	10	17
South Shore Hospital	17	90
Steward Health Care	115	249
Tufts Medical Center	712	3229
UMASS Memorial Medical Center	97	573
VA Boston Healthcare System	13	14
Viracor	76	1225
Other	45	105
Total Patients Tested	13837	76429
