Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1859	9958
AFC Urgent Care	107	422
ARUP Laboratories	19	194
Baystate Medical Center	477	1987
Bedford Research Foundation	54	263
Berkshire Medical Center	6	57
Beth Israel Deaconess Medical Center	2557	10579
BioReference Laboratories	24	140
Boston Medical Center	1391	3078
BROAD Institute CRSP	5448	18826
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	41	592
CVS	1273	7757
Cambridge Health Alliance	31	31
East Side Clinical Laboratory	50	308
Emerson Hospital	11	129
Excelsior	6	11
Genesys Diagnostics	736	1881
Harrington Memorial Hospital	21	51
LabCorp	2590	9602
Lemuel Shattuck Hospital	20	57
Mayo Clinic Labs	459	2405
Orig3n	16	40
Other Public Health Laboratories	13	20
Partners Healthcare	2909	10464
Quest Laboratories	12238	62471
South Shore Hospital	74	323
Steward Health Care	410	1120
Tufts Medical Center	1905	6725
UMASS Memorial Medical Center	932	4131
VA Healthcare Sites	131	532
Vikor Scientific	282	611
Viracor	83	1367
Point of Care Testing	115	460
Other	83	204
Total Patients Tested	36372	156806
