CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	30
Berkshire	26
Bristol	25
Dukes and Nantucket	1
Essex	73
Franklin	2
Hampden	15
Hampshire	6
Middlesex	232
Norfolk	82
Plymouth	32
Suffolk	154
Worcester	42
Unknown	57
Sex	
Female	378
Male	399
Age Group	
≤19 years of age	19
20-29 years of age	115
30-39 years of age	132
40-49 years of age	152
50-59 years of age	141
60-69 years of age	111
≥ 70 years of age	107
Exposure	
Biogen conference attendees and household contacts	99
Local transmission	104
Travel related	75
Under investigation	499
Deaths	
Attributed to COVID-19	9
Hospitalization	
Patient was hospitalized	79
Patient was not hospitalized	286
Under Investigation	412
