CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	464
Berkshire	329
Bristol	1086
Dukes	12
Essex	2670
Franklin	135
Hampden	1394
Hampshire	194
Middlesex	4447
Nantucket	9
Norfolk	2216
Plymouth	1677
Suffolk	4534
Worcester	1678
Unknown	129
Sex	
Female	11094
Male	9653
Unknown	227
Age Group	
≤19 years of age	446
20-29 years of age	2637
30-39 years of age	3201
40-49 years of age	3236
50-59 years of age	3931
60-69 years of age	2950
70-79 years of age	2001
≥ 80 years of age	2562
Unknown	10
Deaths	
Attributed to COVID-19	599
COVID-19 Cases in Long-Term Care Facilities	
Residents/Healthcare workers of Long-Term Care Facilities	2124
Long-Term Care Facilities Reporting At Least One Case of COVID-19	176
Deaths Reported in Long-Term Care Facilities	247
Hospitalization	
Patient was hospitalized	1956
Patient was not hospitalized	5731
Under Investigation	13287
