CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	347
Berkshire	258
Bristol	659
Dukes	8
Essex	1506
Franklin	100
Hampden	768
Hampshire	128
Middlesex	2632
Nantucket	9
Norfolk	1271
Plymouth	963
Suffolk	2658
Worcester	978
Unknown	215
Sex	
Female	6528
Male	5901
Unknown	71
Age Group	
≤19 years of age	290
20-29 years of age	1773
30-39 years of age	2064
40-49 years of age	2074
50-59 years of age	2465
60-69 years of age	1735
≥ 70 years of age	2098
Unknown	1
Deaths	
Attributed to COVID-19	231
COVID-19 Cases in Long-Term Care Facilities	
Residents/Healthcare workers of Long-Term Care Facilities	551
Long-Term Care Facilities Reporting At Least One Case of COVID-19	102
Hospitalization	
Patient was hospitalized	1145
Patient was not hospitalized	3675
Under Investigation	7680
