CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	514
Berkshire	360
Bristol	1435
Dukes	11
Essex	3594
Franklin	155
Hampden	1798
Hampshire	233
Middlesex	6254
Nantucket	9
Norfolk	2969
Plymouth	2207
Suffolk	5872
Worcester	2246
Unknown	506
Sex	
Female	14750
Male	12531
Unknown	882
Age Group	
≤19 years of age	622
20-29 years of age	3393
30-39 years of age	4165
40-49 years of age	4166
50-59 years of age	5120
60-69 years of age	3979
70-79 years of age	2744
≥ 80 years of age	3796
Unknown	178
Deaths	
Attributed to COVID-19	957
COVID-19 Cases in Long-Term Care Facilities	
Residents/Healthcare workers of Long-Term Care Facilities	3907
Long-Term Care Facilities Reporting At Least One Case of COVID-19	214
Deaths Reported in Long-Term Care Facilities	444
	
