CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	480
Berkshire	336
Bristol	1191
Dukes	12
Essex	2896
Franklin	138
Hampden	1545
Hampshire	204
Middlesex	4872
Nantucket	9
Norfolk	2395
Plymouth	1809
Suffolk	4926
Worcester	1822
Unknown	225
Sex	
Female	12150
Male	10443
Unknown	267
Age Group	
≤19 years of age	500
20-29 years of age	2834
30-39 years of age	3459
40-49 years of age	3500
50-59 years of age	4279
60-69 years of age	3224
70-79 years of age	2169
≥ 80 years of age	2883
Unknown	12
Deaths	
Attributed to COVID-19	686
COVID-19 Cases in Long-Term Care Facilities	
Residents/Healthcare workers of Long-Term Care Facilities	2645
Long-Term Care Facilities Reporting At Least One Case of COVID-19	190
Deaths in Long-Term Care Facilities	306
Hospitalization	
Patient was hospitalized	2120
Patient was not hospitalized	6053
Under Investigation	14687
