CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	133.0
Berkshire	119.0
Bristol	179.0
Dukes and Nantucket	8.0
Essex	472.0
Franklin	39.0
Hampden	183.0
Hampshire	30.0
Middlesex	842.0
Norfolk	490.0
Plymouth	272.0
Suffolk	843.0
Worcester	291.0
Unknown	356.0
Sex	
Female	2157.0
Male	2067.0
Unknown	33.0
Age Group	
≤19 years of age	83.0
20-29 years of age	723.0
30-39 years of age	752.0
40-49 years of age	690.0
50-59 years of age	812.0
60-69 years of age	588.0
≥ 70 years of age	602.0
Unknown	7.0
Deaths	
Attributed to COVID-19	44.0
Hospitalization	
Patient was hospitalized	350.0
Patient was not hospitalized	1226.0
Under Investigation	2681.0
