Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1793	9678
AFC Urgent Care	71	214
ARUP Laboratories	19	194
Baystate Medical Center	449	1809
Bedford Research Foundation	25	139
Berkshire Medical Center	6	50
Beth Israel Deaconess Medical Center	2444	10164
BioReference Laboratories	25	141
Boston Medical Center	1297	2874
BROAD Institute CRSP	4941	17302
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	36	556
CVS	1091	5878
Cambridge Health Alliance	26	26
East Side Clinical Laboratory	50	295
Emerson Hospital	8	115
Excelsior	6	11
Genesys Diagnostics	684	1743
Harrington Memorial Hospital	20	50
LabCorp	2505	9440
Lemuel Shattuck Hospital	12	39
Mayo Clinic Labs	459	2407
Orig3n	16	40
Other Public Health Laboratories	14	21
Partners Healthcare	2634	9594
Quest Laboratories	12117	61384
South Shore Hospital	73	318
Steward Health Care	385	1039
Tufts Medical Center	1805	6387
UMASS Memorial Medical Center	824	3838
VA Healthcare Sites	108	512
Vikor Scientific	174	447
Viracor	83	1363
Point of Care Testing	100	406
Other	101	260
Total Patients Tested	34402	148744
