CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	24
Berkshire	23
Bristol	24
Dukes and Nantucket	1
Essex	60
Franklin	2
Hampden	12
Hampshire	4
Middlesex	199
Norfolk	75
Plymouth	25
Suffolk	126
Worcester	37
Unknown	34
Sex	
Female	308
Male	338
Age Group	
≤19 years of age	18
20-29 years of age	93
30-39 years of age	112
40-49 years of age	134
50-59 years of age	119
60-69 years of age	87
≥ 70 years of age	83
Exposure	
Biogen conference attendees and household contacts	99
Local transmission	83
Travel related	68
Under investigation	396
Deaths	
Attributed to COVID-19	5
Hospitalization	
Patient was hospitalized	71
Patient was not hospitalized	263
Under Investigation	312
