Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1674	9333
ARUP Laboratories	19	193
Baystate Medical Center	343	1335
Bedford Research Foundation	116	598
Berkshire Medical Center	4	24
Beth Israel Deaconess Medical Center	2137	8972
BioReference Laboratories	23	80
Boston Medical Center	1157	2584
BROAD Institute CRSP	3848	13009
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	27	469
CVS	777	3707
Cambridge Health Alliance	9	9
East Side Clinical Laboratory	44	271
Excelsior	6	11
Genesys Diagnostics	571	1474
Harrington Memorial Hospital	15	45
LabCorp	2198	8713
Mayo Clinic Labs	457	2405
Orig3n	16	40
Other Public Health Laboratories	12	17
Partners Healthcare	2236	8402
Quest Laboratories	11185	57812
South Shore Hospital	58	273
Steward Health Care	334	884
Tufts Medical Center	1581	5719
UMASS Memorial Medical Center	648	3148
VA Healthcare Sites	101	507
Vikor Scientific	94	129
Viracor	82	1332
Point of Care Testing	100	406
Other	45	112
Total Patients Tested	29918	132023
