Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	719	6608
ARUP	17	183
Baystate Medical Center	43	149
Bedford Research Foundation	6	109
Beth Israel Deaconess Medical Center	360	2435
BioReference Laboratories	3	39
Boston Medical Center	92	348
BROAD Institute CRSP	56	429
Centers for Disease Control and Prevention	1	11
Children’s Hospital Boston	9	113
Genesys Diagnostics	12	12
LabCorp	345	3432
Mayo Clinic Labs	198	1025
Partners Healthcare	341	2397
Quest Laboratories	2406	19331
Tufts Medical Center	253	1292
UMASS Memorial Medical Center	4	4
Viracor	72	1109
Other	18	40
Total Patients Tested*	4955	39066
