CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	530
Berkshire	370
Bristol	1508
Dukes	11
Essex	3894
Franklin	160
Hampden	1885
Hampshire	239
Middlesex	6681
Nantucket	9
Norfolk	3122
Plymouth	2308
Suffolk	6279
Worcester	2350
Unknown	572
Sex	
Female	15547
Male	13250
Unknown	1121
Age Group	
≤19 years of age	675
20-29 years of age	3593
30-39 years of age	4448
40-49 years of age	4455
50-59 years of age	5420
60-69 years of age	4244
70-79 years of age	2894
≥ 80 years of age	3973
Unknown	216
Deaths	
Attributed to COVID-19	1108
COVID-19 Cases in Long-Term Care Facilities	
Residents/Healthcare workers of Long-Term Care Facilities	4163
Long-Term Care Facilities Reporting At Least One Case of COVID-19	222
Deaths Reported in Long-Term Care Facilities	530
