CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	590
Berkshire	385
Bristol	1698
Dukes	14
Essex	4914
Franklin	177
Hampden	2254
Hampshire	306
Middlesex	8297
Nantucket	9
Norfolk	3659
Plymouth	2688
Suffolk	7696
Worcester	2952
Unknown	733
Sex	
Female	18766
Male	15773
Unknown	1833
Age Group	
≤19 years of age	852
20-29 years of age	4314
30-39 years of age	5282
40-49 years of age	5326
50-59 years of age	6445
60-69 years of age	5090
70-79 years of age	3571
≥ 80 years of age	5193
Unknown	299
Deaths	
Attributed to COVID-19	1560
COVID-19 Cases in Long-Term Care Facilities	
Residents/Healthcare workers of Long-Term Care Facilities	5790
Long-Term Care Facilities Reporting At Least One Case of COVID-19	250
Deaths Reported in Long-Term Care Facilities	810
