Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1628	9167
ARUP Laboratories	19	197
Baystate Medical Center	267	1056
Bedford Research Foundation	111	575
Beth Israel Deaconess Medical Center	1855	8067
BioReference Laboratories	16	50
Boston Medical Center	1056	2435
BROAD Institute CRSP	3476	12073
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	26	409
CVS	563	3236
East Side Clinical Laboratory	35	220
Excelsior	6	11
Genesys Diagnostics	488	1296
Harrington Memorial Hospital	13	43
LabCorp	2011	8275
Mayo Clinic Labs	456	2401
Orig3n	16	40
Partners Healthcare	1909	7615
Quest Laboratories	10390	54491
South Shore Hospital	44	219
Steward Health Care	299	758
Tufts Medical Center	1366	5206
UMASS Memorial Medical Center	490	2481
VA Boston Healthcare System	11	12
Vikor Scientific	60	71
Viracor	75	1306
Other	180	329
Total Patients Tested	26867	122049
