CATEGORY	NUMBER OF CONFIRMED CASES
County	
Barnstable	550
Berkshire	382
Bristol	1605
Dukes	12
Essex	4245
Franklin	170
Hampden	1985
Hampshire	248
Middlesex	7206
Nantucket	9
Norfolk	3342
Plymouth	2466
Suffolk	6820
Worcester	2503
Unknown	638
Sex	
Female	16794
Male	14176
Unknown	1211
Age Group	
≤19 years of age	737
20-29 years of age	3826
30-39 years of age	4706
40-49 years of age	4754
50-59 years of age	5784
60-69 years of age	4562
70-79 years of age	3142
≥ 80 years of age	4423
Unknown	247
Deaths	
Attributed to COVID-19	1245
COVID-19 Cases in Long-Term Care Facilities	
Residents/Healthcare workers of Long-Term Care Facilities	4798
Long-Term Care Facilities Reporting At Least One Case of COVID-19	232
Deaths Reported in Long-Term Care Facilities	610
