Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1447	9005
ARUP Laboratories	19	197
Baystate Medical Center	221	810
Bedford Research Foundation	105	574
Beth Israel Deaconess Medical Center	1638	7603
BioReference Laboratories	16	51
Boston Medical Center	959	2258
BROAD Institute CRSP	2580	9166
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	26	396
CVS	166	977
East Side Clinical Laboratory	25	171
Excelsior	4	10
Genesys Diagnostics	391	995
Harrington Memorial Hospital	12	43
LabCorp	1839	7903
Mayo Clinic Labs	455	2393
Orig3n	16	40
Partners Healthcare	1680	7325
Quest Laboratories	9187	49917
South Shore Hospital	36	185
Steward Health Care	249	651
Tufts Medical Center	1199	4780
UMASS Memorial Medical Center	359	1804
VA Boston Healthcare System	11	12
Vikor Scientific	60	71
Viracor	68	1279
Other	91	150
Total Patients Tested*	22860	108776
