Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	767	6888
ARUP Laboratories	17	185
Baystate Medical Center	5	40
Bedford Research Foundation	14	177
Beth Israel Deaconess Medical Center	487	3014
BioReference Laboratories	6	40
Boston Medical Center	156	489
BROAD Institute CRSP	185	960
Centers for Disease Control and Prevention	1	11
Children’s Hospital Boston	10	155
Genesys Diagnostics	60	97
LabCorp	429	3810
Mayo Clinic Labs	277	1423
Partners Healthcare	516	3303
Quest Laboratories	3259	23536
Tufts Medical Center	330	1632
UMASS Memorial Medical Center	9	30
Viracor	71	1085
Other	21	60
Total Patients Tested	6620	46935
