Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1589	9106
ARUP Laboratories	19	197
Baystate Medical Center	255	1015
Bedford Research Foundation	106	570
Beth Israel Deaconess Medical Center	1770	7848
BioReference Laboratories	16	50
Boston Medical Center	1028	2383
BROAD Institute CRSP	3144	10572
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	26	409
CVS	494	2292
East Side Clinical Laboratory	30	198
Excelsior	6	11
Genesys Diagnostics	437	1144
Harrington Memorial Hospital	12	43
LabCorp	2005	8275
Mayo Clinic Labs	456	2399
Orig3n	16	40
Partners Healthcare	1800	7469
Quest Laboratories	9971	52924
South Shore Hospital	36	191
Steward Health Care	274	719
Tufts Medical Center	1304	5034
UMASS Memorial Medical Center	442	2300
VA Boston Healthcare System	11	12
Vikor Scientific	60	71
Viracor	75	1290
Other	92	158
Total Patients Tested	25475	116730
