Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1397	8626
ARUP Laboratories	17	185
Baystate Medical Center	126	491
Bedford Research Foundation	97	537
Beth Israel Deaconess Medical Center	1414	6868
BioReference Laboratories	16	51
Boston Medical Center	680	1428
BROAD Institute CRSP	1905	6893
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	20	347
CVS	122	941
East Side Clinical Laboratory	25	154
Genesys Diagnostics	274	648
Harrington Memorial Hospital	7	39
LabCorp	1618	7415
Mayo Clinic Labs	443	2343
Orig3n	16	40
Partners Healthcare	1502	6719
Quest Laboratories	7606	43675
South Shore Hospital	28	150
Steward Health Care	236	568
Tufts Medical Center	994	4085
UMASS Memorial Medical Center	224	1232
VA Boston Healthcare System	16	17
Viracor	80	1280
Other	77	216
Total Patients Tested	18941	94958
