Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1231	8273
ARUP Laboratories	17	185
Baystate Medical Center	31	120
Bedford Research Foundation	78	457
Beth Israel Deaconess Medical Center	1128	5953
BioReference Laboratories	17	52
Boston Medical Center	523	1155
BROAD Institute CRSP	1242	5200
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	16	270
East Side Clinical Laboratory	16	109
Genesys Diagnostics	200	413
LabCorp	1336	6749
Mayo Clinic Labs	445	2314
Orig3n	16	40
Partners Healthcare	1230	5795
Quest Laboratories	6471	38282
Signature Healthcare	11	21
South Shore Hospital	19	105
Steward Health Care	155	349
Tufts Medical Center	752	3371
UMASS Memorial Medical Center	127	730
VA Boston Healthcare System	14	15
Viracor	77	1236
Other	49	140
Total Patients Tested	15202	81344
