Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	718	6606
ARUP	17	183
Baystate Medical Center	43	100
Bedford Research Foundation	4	71
Beth Israel Deaconess Medical Center	297	2082
BioReference Laboratories	3	9
Boston Medical Center	85	305
BROAD Institute CRSP	47	387
Centers for Disease Control and Prevention	1	11
Children’s Hospital Boston	8	88
Genesys Diagnostics	12	12
LabCorp	244	2901
Mayo Clinic Labs	126	606
Partners Healthcare	305	2232
Quest Laboratories	2057	17220
Tufts Medical Center	201	1066
UMASS Memorial Medical Center	4	4
Viracor	69	1089
Other	16	77
Total Patients Tested*	4257	35049
