Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	1628	9150
ARUP Laboratories	19	193
Baystate Medical Center	308	1192
Bedford Research Foundation	114	581
Berkshire Medical Center	4	24
Beth Israel Deaconess Medical Center	1990	8467
BioReference Laboratories	22	79
Boston Medical Center	1091	2447
BROAD Institute CRSP	3655	12509
Centers for Disease Control and Prevention	1	10
Children’s Hospital Boston	25	420
CVS	563	3231
East Side Clinical Laboratory	38	251
Excelsior	6	11
Genesys Diagnostics	535	1397
Harrington Memorial Hospital	15	45
LabCorp	2119	8512
Mayo Clinic Labs	457	2404
Orig3n	16	40
Other Public Health Laboratories	12	17
Partners Healthcare	2038	7858
Quest Laboratories	10737	56075
South Shore Hospital	55	250
Steward Health Care	309	802
Tufts Medical Center	1444	5370
UMASS Memorial Medical Center	563	2759
VA Healthcare Sites	96	504
Vikor Scientific	84	119
Viracor	77	1321
Point of Care Testing	100	406
Other	42	107
Total Patients Tested	28163	126551
